IP地址,端口,TLS,数据中心,地区,城市,ASN,网络延迟
148.135.4.230,30472,true,LAX,North America,Los Angeles,35916,204 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16898,true,LAX,North America,Los Angeles,35916,204 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16719,true,LAX,North America,Los Angeles,35916,204 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16862,true,LAX,North America,Los Angeles,35916,204 ms
142.171.233.145,36846,true,LAX,North America,Los Angeles,35916,204 ms
142.171.29.150,2053,true,LAX,North America,Los Angeles,35916,204 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16075,true,LAX,North America,Los Angeles,35916,205 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16050,true,LAX,North America,Los Angeles,35916,205 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16039,true,LAX,North America,Los Angeles,35916,205 ms
142.171.243.209,2053,true,LAX,North America,Los Angeles,35916,205 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16230,true,LAX,North America,Los Angeles,35916,205 ms
2607:f130:0:f8:ff:ff:7c07:e072,443,true,LAX,North America,Los Angeles,35916,205 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16177,true,LAX,North America,Los Angeles,35916,205 ms
142.171.64.192,443,true,LAX,North America,Los Angeles,35916,205 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16790,true,LAX,North America,Los Angeles,35916,205 ms
148.135.95.48,444,true,LAX,North America,Los Angeles,35916,205 ms
2607:f130:0:185::9e1f:3d6,443,true,LAX,North America,Los Angeles,35916,205 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16342,true,LAX,North America,Los Angeles,35916,205 ms
148.135.67.18,2053,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:193:216:3cff:feb3:c195,12346,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16705,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16086,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16992,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16491,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16077,true,LAX,North America,Los Angeles,35916,206 ms
142.171.62.170,8080,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16068,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:193:216:3cff:fe5f:da57,2333,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:14b::fcd0:2a0a,443,true,LAX,North America,Los Angeles,35916,206 ms
74.48.74.102,443,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16632,true,LAX,North America,Los Angeles,35916,206 ms
148.135.68.228,2053,true,LAX,North America,Los Angeles,35916,206 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16849,true,LAX,North America,Los Angeles,35916,207 ms
74.48.100.162,23820,true,LAX,North America,Los Angeles,35916,207 ms
142.171.183.36,1000,true,LAX,North America,Los Angeles,35916,207 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16418,true,LAX,North America,Los Angeles,35916,207 ms
142.171.86.46,8443,true,LAX,North America,Los Angeles,35916,207 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16190,true,LAX,North America,Los Angeles,35916,207 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16411,true,LAX,North America,Los Angeles,35916,207 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16743,true,LAX,North America,Los Angeles,35916,207 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16609,true,LAX,North America,Los Angeles,35916,207 ms
148.135.46.46,443,true,LAX,North America,Los Angeles,35916,207 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16778,true,LAX,North America,Los Angeles,35916,207 ms
74.48.5.9,10011,true,LAX,North America,Los Angeles,35916,208 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16155,true,LAX,North America,Los Angeles,35916,208 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16085,true,LAX,North America,Los Angeles,35916,208 ms
148.135.17.232,8443,true,LAX,North America,Los Angeles,35916,208 ms
142.171.131.17,8443,true,LAX,North America,Los Angeles,35916,208 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16986,true,LAX,North America,Los Angeles,35916,208 ms
148.135.114.245,8443,true,LAX,North America,Los Angeles,35916,208 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16591,true,LAX,North America,Los Angeles,35916,208 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16154,true,LAX,North America,Los Angeles,35916,208 ms
142.171.210.16,443,true,LAX,North America,Los Angeles,35916,209 ms
